,,,,latency (ns),latency (ms),latency (s),,Max (ms),Mean (ms),Min (ms)
8,8,2.01618E+12,2.01618E+12,195270,195.27,0.19527,,,,
9,8,2.01619E+12,2.01619E+12,230954,230.954,0.230954,,,,
10,8,2.0162E+12,2.0162E+12,186030,186.03,0.18603,,,,
1,9,2.01622E+12,2.01622E+12,166138,166.138,0.166138,,,,
2,9,2.01623E+12,2.01623E+12,217397,217.397,0.217397,,,,
3,9,2.01624E+12,2.01624E+12,256728,256.728,0.256728,,,,
4,9,2.01625E+12,2.01625E+12,228706,228.706,0.228706,,,,
5,9,2.01626E+12,2.01626E+12,229690,229.69,0.22969,,,,
6,9,2.01627E+12,2.01627E+12,175050,175.05,0.17505,,,,
7,9,2.01628E+12,2.01628E+12,178076,178.076,0.178076,,,,
8,9,2.01629E+12,2.01629E+12,157132,157.132,0.157132,,,,
9,9,2.0163E+12,2.0163E+12,151650,151.65,0.15165,,,,
10,9,2.01631E+12,2.01631E+12,160895,160.895,0.160895,,,,
1,10,2.01632E+12,2.01632E+12,147029,147.029,0.147029,,,,
2,10,2.01633E+12,2.01633E+12,179661,179.661,0.179661,,,,
3,10,2.01634E+12,2.01634E+12,197880,197.88,0.19788,,,,
4,10,2.01636E+12,2.01636E+12,189224,189.224,0.189224,,,,
5,10,2.01637E+12,2.01637E+12,173742,173.742,0.173742,,,,
6,10,2.01638E+12,2.01638E+12,155684,155.684,0.155684,,,,
7,10,2.01639E+12,2.01639E+12,181311,181.311,0.181311,,,,
8,10,2.0164E+12,2.0164E+12,196223,196.223,0.196223,,,,
9,10,2.01641E+12,2.01641E+12,222192,222.192,0.222192,,,,
10,10,2.01642E+12,2.01642E+12,155577,155.577,0.155577,,,,
1,11,2.01643E+12,2.01643E+12,147515,147.515,0.147515,,,,
2,11,2.01644E+12,2.01644E+12,202493,202.493,0.202493,,,,
3,11,2.01645E+12,2.01645E+12,199221,199.221,0.199221,,,,
4,11,2.01646E+12,2.01646E+12,238706,238.706,0.238706,,,,
5,11,2.01647E+12,2.01647E+12,158748,158.748,0.158748,,,,
6,11,2.01648E+12,2.01648E+12,170561,170.561,0.170561,,,,
7,11,2.01649E+12,2.01649E+12,169725,169.725,0.169725,,,,
8,11,2.0165E+12,2.0165E+12,185619,185.619,0.185619,,,,
9,11,2.01652E+12,2.01652E+12,168363,168.363,0.168363,,,,
10,11,2.01653E+12,2.01653E+12,187263,187.263,0.187263,,,,
1,12,2.01654E+12,2.01654E+12,165113,165.113,0.165113,,,,
2,12,2.01655E+12,2.01655E+12,169435,169.435,0.169435,,,,
3,12,2.01656E+12,2.01656E+12,195548,195.548,0.195548,,,,
4,12,2.01657E+12,2.01657E+12,208920,208.92,0.20892,,,,
5,12,2.01658E+12,2.01658E+12,147431,147.431,0.147431,,,,
6,12,2.01659E+12,2.01659E+12,175357,175.357,0.175357,,,,
7,12,2.0166E+12,2.0166E+12,187706,187.706,0.187706,,,,
8,12,2.01661E+12,2.01661E+12,181362,181.362,0.181362,,,,
9,12,2.01662E+12,2.01662E+12,163142,163.142,0.163142,,,,
10,12,2.01663E+12,2.01663E+12,168276,168.276,0.168276,,,,
1,13,2.01664E+12,2.01664E+12,170225,170.225,0.170225,,,,
2,13,2.01665E+12,2.01665E+12,182237,182.237,0.182237,,,,
3,13,2.01666E+12,2.01666E+12,181697,181.697,0.181697,,,,
4,13,2.01667E+12,2.01667E+12,200345,200.345,0.200345,,,,
5,13,2.01668E+12,2.01668E+12,135976,135.976,0.135976,,,,
6,13,2.01669E+12,2.01669E+12,170629,170.629,0.170629,,,,
