,,,,latency (ns),latency (ms),latency (s),,Max (ms),Mean (ms),Min (ms)
7,156,2.03166E+12,2.03166E+12,166457,166.457,0.166457,,,,
8,156,2.03167E+12,2.03167E+12,187003,187.003,0.187003,,,,
9,156,2.03168E+12,2.03168E+12,157848,157.848,0.157848,,,,
10,156,2.03169E+12,2.03169E+12,180836,180.836,0.180836,,,,
1,157,2.0317E+12,2.0317E+12,173182,173.182,0.173182,,,,
2,157,2.03171E+12,2.03171E+12,139929,139.929,0.139929,,,,
3,157,2.03172E+12,2.03172E+12,196994,196.994,0.196994,,,,
4,157,2.03173E+12,2.03173E+12,182913,182.913,0.182913,,,,
5,157,2.03174E+12,2.03174E+12,162108,162.108,0.162108,,,,
6,157,2.03175E+12,2.03175E+12,174900,174.9,0.1749,,,,
7,157,2.03176E+12,2.03176E+12,169908,169.908,0.169908,,,,
8,157,2.03177E+12,2.03177E+12,188819,188.819,0.188819,,,,
9,157,2.03178E+12,2.03178E+12,162316,162.316,0.162316,,,,
10,157,2.03179E+12,2.03179E+12,209424,209.424,0.209424,,,,
1,158,2.0318E+12,2.0318E+12,198885,198.885,0.198885,,,,
2,158,2.03181E+12,2.03181E+12,151184,151.184,0.151184,,,,
3,158,2.03182E+12,2.03182E+12,202381,202.381,0.202381,,,,
4,158,2.03183E+12,2.03184E+12,185351,185.351,0.185351,,,,
5,158,2.03185E+12,2.03185E+12,165832,165.832,0.165832,,,,
6,158,2.03186E+12,2.03186E+12,149926,149.926,0.149926,,,,
7,158,2.03187E+12,2.03187E+12,166170,166.17,0.16617,,,,
8,158,2.03188E+12,2.03188E+12,192662,192.662,0.192662,,,,
9,158,2.03189E+12,2.03189E+12,163954,163.954,0.163954,,,,
10,158,2.0319E+12,2.0319E+12,168872,168.872,0.168872,,,,
1,159,2.03191E+12,2.03191E+12,168039,168.039,0.168039,,,,
2,159,2.03192E+12,2.03192E+12,110198,110.198,0.110198,,,,
3,159,2.03193E+12,2.03193E+12,188208,188.208,0.188208,,,,
4,159,2.03194E+12,2.03194E+12,214228,214.228,0.214228,,,,
5,159,2.03195E+12,2.03195E+12,179486,179.486,0.179486,,,,
6,159,2.03196E+12,2.03196E+12,134640,134.64,0.13464,,,,
7,159,2.03197E+12,2.03197E+12,169775,169.775,0.169775,,,,
8,159,2.03198E+12,2.03198E+12,136258,136.258,0.136258,,,,
9,159,2.03199E+12,2.03199E+12,161172,161.172,0.161172,,,,
10,159,2.032E+12,2.032E+12,200739,200.739,0.200739,,,,
1,160,2.03201E+12,2.03201E+12,165515,165.515,0.165515,,,,
2,160,2.03202E+12,2.03202E+12,165663,165.663,0.165663,,,,
3,160,2.03203E+12,2.03203E+12,207270,207.27,0.20727,,,,
4,160,2.03204E+12,2.03204E+12,183079,183.079,0.183079,,,,
5,160,2.03205E+12,2.03205E+12,104122,104.122,0.104122,,,,
6,160,2.03206E+12,2.03206E+12,167177,167.177,0.167177,,,,
7,160,2.03207E+12,2.03207E+12,231655,231.655,0.231655,,,,
8,160,2.03209E+12,2.03209E+12,166521,166.521,0.166521,,,,
9,160,2.0321E+12,2.0321E+12,156089,156.089,0.156089,,,,
10,160,2.03211E+12,2.03211E+12,130651,130.651,0.130651,,,,
1,161,2.03212E+12,2.03212E+12,167258,167.258,0.167258,,,,
2,161,2.03213E+12,2.03213E+12,167086,167.086,0.167086,,,,
3,161,2.03214E+12,2.03214E+12,168063,168.063,0.168063,,,,
4,161,2.03215E+12,2.03215E+12,218436,218.436,0.218436,,,,
5,161,2.03216E+12,2.03216E+12,165714,165.714,0.165714,,,,
6,161,2.03217E+12,2.03217E+12,188068,188.068,0.188068,,,,
7,161,2.03218E+12,2.03218E+12,149328,149.328,0.149328,,,,
8,161,2.03219E+12,2.03219E+12,184928,184.928,0.184928,,,,
9,161,2.0322E+12,2.0322E+12,156794,156.794,0.156794,,,,
10,161,2.03221E+12,2.03221E+12,168296,168.296,0.168296,,,,
1,162,2.03222E+12,2.03222E+12,183786,183.786,0.183786,,,,
2,162,2.03223E+12,2.03223E+12,128409,128.409,0.128409,,,,
3,162,2.03224E+12,2.03224E+12,199227,199.227,0.199227,,,,
4,162,2.03225E+12,2.03225E+12,195888,195.888,0.195888,,,,
5,162,2.03226E+12,2.03226E+12,167808,167.808,0.167808,,,,
6,162,2.03227E+12,2.03227E+12,164804,164.804,0.164804,,,,
7,162,2.03228E+12,2.03228E+12,172325,172.325,0.172325,,,,
8,162,2.03229E+12,2.03229E+12,196217,196.217,0.196217,,,,
9,162,2.0323E+12,2.0323E+12,136908,136.908,0.136908,,,,
10,162,2.03231E+12,2.03231E+12,199732,199.732,0.199732,,,,
1,163,2.03233E+12,2.03233E+12,158438,158.438,0.158438,,,,
2,163,2.03234E+12,2.03234E+12,144566,144.566,0.144566,,,,
3,163,2.03235E+12,2.03235E+12,210747,210.747,0.210747,,,,
4,163,2.03236E+12,2.03236E+12,187359,187.359,0.187359,,,,
5,163,2.03237E+12,2.03237E+12,175236,175.236,0.175236,,,,
6,163,2.03238E+12,2.03238E+12,171453,171.453,0.171453,,,,
7,163,2.03239E+12,2.03239E+12,161122,161.122,0.161122,,,,
8,163,2.0324E+12,2.0324E+12,215077,215.077,0.215077,,,,
9,163,2.03241E+12,2.03241E+12,153032,153.032,0.153032,,,,
10,163,2.03242E+12,2.03242E+12,215888,215.888,0.215888,,,,
1,164,2.03243E+12,2.03243E+12,173451,173.451,0.173451,,,,
2,164,2.03244E+12,2.03244E+12,136683,136.683,0.136683,,,,
3,164,2.03245E+12,2.03245E+12,165036,165.036,0.165036,,,,
4,164,2.03246E+12,2.03246E+12,185564,185.564,0.185564,,,,
5,164,2.03247E+12,2.03247E+12,173078,173.078,0.173078,,,,
6,164,2.03248E+12,2.03248E+12,169544,169.544,0.169544,,,,
7,164,2.03249E+12,2.03249E+12,163995,163.995,0.163995,,,,
8,164,2.0325E+12,2.0325E+12,190275,190.275,0.190275,,,,
9,164,2.03251E+12,2.03251E+12,132182,132.182,0.132182,,,,
10,164,2.03252E+12,2.03252E+12,168004,168.004,0.168004,,,,
1,165,2.03253E+12,2.03253E+12,243689,243.689,0.243689,,,,
2,165,2.03254E+12,2.03254E+12,146111,146.111,0.146111,,,,
3,165,2.03255E+12,2.03255E+12,181924,181.924,0.181924,,,,
4,165,2.03256E+12,2.03256E+12,195361,195.361,0.195361,,,,
5,165,2.03258E+12,2.03258E+12,169904,169.904,0.169904,,,,
6,165,2.03259E+12,2.03259E+12,155810,155.81,0.15581,,,,
7,165,2.0326E+12,2.0326E+12,169479,169.479,0.169479,,,,
8,165,2.03261E+12,2.03261E+12,178429,178.429,0.178429,,,,
9,165,2.03262E+12,2.03262E+12,167438,167.438,0.167438,,,,
10,165,2.03263E+12,2.03263E+12,169518,169.518,0.169518,,,,
1,166,2.03264E+12,2.03264E+12,158205,158.205,0.158205,,,,
2,166,2.03265E+12,2.03265E+12,147344,147.344,0.147344,,,,
3,166,2.03266E+12,2.03266E+12,182149,182.149,0.182149,,,,
4,166,2.03267E+12,2.03267E+12,186927,186.927,0.186927,,,,
5,166,2.03268E+12,2.03268E+12,159622,159.622,0.159622,,,,
6,166,2.03269E+12,2.03269E+12,174021,174.021,0.174021,,,,
7,166,2.0327E+12,2.0327E+12,133917,133.917,0.133917,,,,
8,166,2.03271E+12,2.03271E+12,223361,223.361,0.223361,,,,
9,166,2.03272E+12,2.03272E+12,186219,186.219,0.186219,,,,
10,166,2.03273E+12,2.03273E+12,177220,177.22,0.17722,,,,
1,167,2.03274E+12,2.03274E+12,164529,164.529,0.164529,,,,
2,167,2.03275E+12,2.03275E+12,123192,123.192,0.123192,,,,
3,167,2.03276E+12,2.03276E+12,212761,212.761,0.212761,,,,
4,167,2.03277E+12,2.03277E+12,254011,254.011,0.254011,,,,
5,167,2.03278E+12,2.03278E+12,190579,190.579,0.190579,,,,
6,167,2.03279E+12,2.03279E+12,168973,168.973,0.168973,,,,
7,167,2.0328E+12,2.0328E+12,164889,164.889,0.164889,,,,
8,167,2.03281E+12,2.03281E+12,199495,199.495,0.199495,,,,
9,167,2.03283E+12,2.03283E+12,155666,155.666,0.155666,,,,
10,167,2.03284E+12,2.03284E+12,193678,193.678,0.193678,,,,
1,168,2.03285E+12,2.03285E+12,167975,167.975,0.167975,,,,
2,168,2.03286E+12,2.03286E+12,138759,138.759,0.138759,,,,
3,168,2.03287E+12,2.03287E+12,190298,190.298,0.190298,,,,
4,168,2.03288E+12,2.03288E+12,193393,193.393,0.193393,,,,
5,168,2.03289E+12,2.03289E+12,212154,212.154,0.212154,,,,
6,168,2.0329E+12,2.0329E+12,165282,165.282,0.165282,,,,
7,168,2.03291E+12,2.03291E+12,166256,166.256,0.166256,,,,
8,168,2.03292E+12,2.03292E+12,198523,198.523,0.198523,,,,
9,168,2.03293E+12,2.03293E+12,155400,155.4,0.1554,,,,
10,168,2.03294E+12,2.03294E+12,197859,197.859,0.197859,,,,
1,169,2.03295E+12,2.03295E+12,165299,165.299,0.165299,,,,
2,169,2.03296E+12,2.03296E+12,142989,142.989,0.142989,,,,
3,169,2.03297E+12,2.03297E+12,206734,206.734,0.206734,,,,
4,169,2.03298E+12,2.03298E+12,183995,183.995,0.183995,,,,
5,169,2.03299E+12,2.03299E+12,162216,162.216,0.162216,,,,
6,169,2.033E+12,2.033E+12,170712,170.712,0.170712,,,,
7,169,2.03301E+12,2.03301E+12,158888,158.888,0.158888,,,,
8,169,2.03302E+12,2.03302E+12,184256,184.256,0.184256,,,,
9,169,2.03303E+12,2.03303E+12,149911,149.911,0.149911,,,,
10,169,2.03304E+12,2.03304E+12,165662,165.662,0.165662,,,,
1,170,2.03306E+12,2.03306E+12,161947,161.947,0.161947,,,,
2,170,2.03307E+12,2.03307E+12,146975,146.975,0.146975,,,,
3,170,2.03308E+12,2.03308E+12,184368,184.368,0.184368,,,,
4,170,2.03309E+12,2.03309E+12,227789,227.789,0.227789,,,,
5,170,2.0331E+12,2.0331E+12,169532,169.532,0.169532,,,,
6,170,2.03311E+12,2.03311E+12,175423,175.423,0.175423,,,,
7,170,2.03312E+12,2.03312E+12,160079,160.079,0.160079,,,,
8,170,2.03313E+12,2.03313E+12,182102,182.102,0.182102,,,,
9,170,2.03314E+12,2.03314E+12,175031,175.031,0.175031,,,,
10,170,2.03315E+12,2.03315E+12,168345,168.345,0.168345,,,,
1,171,2.03316E+12,2.03316E+12,156209,156.209,0.156209,,,,
2,171,2.03317E+12,2.03317E+12,146955,146.955,0.146955,,,,
3,171,2.03318E+12,2.03318E+12,163278,163.278,0.163278,,,,
4,171,2.03319E+12,2.03319E+12,181295,181.295,0.181295,,,,
5,171,2.0332E+12,2.0332E+12,168367,168.367,0.168367,,,,
6,171,2.03321E+12,2.03321E+12,169444,169.444,0.169444,,,,
7,171,2.03322E+12,2.03322E+12,191519,191.519,0.191519,,,,
8,171,2.03323E+12,2.03323E+12,191494,191.494,0.191494,,,,
9,171,2.03324E+12,2.03324E+12,148573,148.573,0.148573,,,,
10,171,2.03325E+12,2.03325E+12,168191,168.191,0.168191,,,,
1,172,2.03326E+12,2.03326E+12,166026,166.026,0.166026,,,,
2,172,2.03328E+12,2.03328E+12,141669,141.669,0.141669,,,,
3,172,2.03329E+12,2.03329E+12,187402,187.402,0.187402,,,,
4,172,2.0333E+12,2.0333E+12,168952,168.952,0.168952,,,,
5,172,2.03331E+12,2.03331E+12,166336,166.336,0.166336,,,,
6,172,2.03332E+12,2.03332E+12,169880,169.88,0.16988,,,,
7,172,2.03333E+12,2.03333E+12,202379,202.379,0.202379,,,,
8,172,2.03334E+12,2.03334E+12,174372,174.372,0.174372,,,,
9,172,2.03335E+12,2.03335E+12,165679,165.679,0.165679,,,,
10,172,2.03336E+12,2.03336E+12,167132,167.132,0.167132,,,,
1,173,2.03337E+12,2.03337E+12,162961,162.961,0.162961,,,,
2,173,2.03338E+12,2.03338E+12,140046,140.046,0.140046,,,,
3,173,2.03339E+12,2.03339E+12,206746,206.746,0.206746,,,,
4,173,2.0334E+12,2.0334E+12,198777,198.777,0.198777,,,,
5,173,2.03341E+12,2.03341E+12,165098,165.098,0.165098,,,,
6,173,2.03342E+12,2.03342E+12,166843,166.843,0.166843,,,,
7,173,2.03343E+12,2.03343E+12,214765,214.765,0.214765,,,,
8,173,2.03344E+12,2.03344E+12,182617,182.617,0.182617,,,,
9,173,2.03345E+12,2.03345E+12,154867,154.867,0.154867,,,,
10,173,2.03346E+12,2.03346E+12,167826,167.826,0.167826,,,,
1,174,2.03347E+12,2.03347E+12,159472,159.472,0.159472,,,,
2,174,2.03348E+12,2.03348E+12,141153,141.153,0.141153,,,,
3,174,2.0335E+12,2.0335E+12,187790,187.79,0.18779,,,,
4,174,2.03351E+12,2.03351E+12,187948,187.948,0.187948,,,,
5,174,2.03352E+12,2.03352E+12,137283,137.283,0.137283,,,,
6,174,2.03353E+12,2.03353E+12,148294,148.294,0.148294,,,,
7,174,2.03354E+12,2.03354E+12,186463,186.463,0.186463,,,,
8,174,2.03355E+12,2.03355E+12,217878,217.878,0.217878,,,,
9,174,2.03356E+12,2.03356E+12,149034,149.034,0.149034,,,,
10,174,2.03357E+12,2.03357E+12,166729,166.729,0.166729,,,,
1,175,2.03358E+12,2.03358E+12,163065,163.065,0.163065,,,,
2,175,2.03359E+12,2.03359E+12,167968,167.968,0.167968,,,,
3,175,2.0336E+12,2.0336E+12,180245,180.245,0.180245,,,,
4,175,2.03361E+12,2.03361E+12,200050,200.05,0.20005,,,,
5,175,2.03362E+12,2.03362E+12,166843,166.843,0.166843,,,,
6,175,2.03363E+12,2.03363E+12,172063,172.063,0.172063,,,,
7,175,2.03364E+12,2.03364E+12,167150,167.15,0.16715,,,,
8,175,2.03365E+12,2.03365E+12,180477,180.477,0.180477,,,,
9,175,2.03366E+12,2.03366E+12,156600,156.6,0.1566,,,,
10,175,2.03367E+12,2.03367E+12,177328,177.328,0.177328,,,,
1,176,2.03368E+12,2.03368E+12,166787,166.787,0.166787,,,,
2,176,2.03369E+12,2.03369E+12,138919,138.919,0.138919,,,,
3,176,2.0337E+12,2.0337E+12,181868,181.868,0.181868,,,,
4,176,2.03371E+12,2.03371E+12,191600,191.6,0.1916,,,,
5,176,2.03372E+12,2.03372E+12,168475,168.475,0.168475,,,,
6,176,2.03373E+12,2.03373E+12,170280,170.28,0.17028,,,,
7,176,2.03374E+12,2.03374E+12,167777,167.777,0.167777,,,,
8,176,2.03376E+12,2.03376E+12,242904,242.904,0.242904,,,,
9,176,2.03377E+12,2.03377E+12,154034,154.034,0.154034,,,,
10,176,2.03378E+12,2.03378E+12,151501,151.501,0.151501,,,,
1,177,2.03379E+12,2.03379E+12,161099,161.099,0.161099,,,,
2,177,2.0338E+12,2.0338E+12,141010,141.01,0.14101,,,,
3,177,2.03381E+12,2.03381E+12,189368,189.368,0.189368,,,,
4,177,2.03382E+12,2.03382E+12,186434,186.434,0.186434,,,,
5,177,2.03383E+12,2.03383E+12,177232,177.232,0.177232,,,,
6,177,2.03384E+12,2.03384E+12,157923,157.923,0.157923,,,,
7,177,2.03385E+12,2.03385E+12,166620,166.62,0.16662,,,,
8,177,2.03386E+12,2.03386E+12,187356,187.356,0.187356,,,,
9,177,2.03387E+12,2.03387E+12,153163,153.163,0.153163,,,,
10,177,2.03388E+12,2.03388E+12,141820,141.82,0.14182,,,,
1,178,2.03389E+12,2.03389E+12,163653,163.653,0.163653,,,,
2,178,2.0339E+12,2.0339E+12,123457,123.457,0.123457,,,,
3,178,2.03391E+12,2.03391E+12,198960,198.96,0.19896,,,,
4,178,2.03392E+12,2.03392E+12,248722,248.722,0.248722,,,,
5,178,2.03393E+12,2.03393E+12,152017,152.017,0.152017,,,,
6,178,2.03394E+12,2.03394E+12,162108,162.108,0.162108,,,,
7,178,2.03395E+12,2.03395E+12,168489,168.489,0.168489,,,,
8,178,2.03396E+12,2.03396E+12,187477,187.477,0.187477,,,,
9,178,2.03397E+12,2.03397E+12,165685,165.685,0.165685,,,,
10,178,2.03399E+12,2.03399E+12,179196,179.196,0.179196,,,,
1,179,2.034E+12,2.034E+12,163368,163.368,0.163368,,,,
2,179,2.03401E+12,2.03401E+12,148108,148.108,0.148108,,,,
3,179,2.03402E+12,2.03402E+12,188958,188.958,0.188958,,,,
4,179,2.03403E+12,2.03403E+12,164643,164.643,0.164643,,,,
5,179,2.03404E+12,2.03404E+12,163052,163.052,0.163052,,,,
6,179,2.03405E+12,2.03405E+12,206720,206.72,0.20672,,,,
7,179,2.03406E+12,2.03406E+12,243196,243.196,0.243196,,,,
8,179,2.03407E+12,2.03407E+12,188193,188.193,0.188193,,,,
9,179,2.03408E+12,2.03408E+12,152653,152.653,0.152653,,,,
10,179,2.03409E+12,2.03409E+12,171289,171.289,0.171289,,,,
1,180,2.0341E+12,2.0341E+12,172064,172.064,0.172064,,,,
2,180,2.03411E+12,2.03411E+12,140154,140.154,0.140154,,,,
3,180,2.03412E+12,2.03412E+12,180164,180.164,0.180164,,,,
4,180,2.03413E+12,2.03413E+12,200150,200.15,0.20015,,,,
5,180,2.03414E+12,2.03414E+12,172925,172.925,0.172925,,,,
6,180,2.03415E+12,2.03415E+12,185570,185.57,0.18557,,,,
7,180,2.03416E+12,2.03416E+12,165718,165.718,0.165718,,,,
8,180,2.03417E+12,2.03417E+12,179485,179.485,0.179485,,,,
9,180,2.03418E+12,2.03418E+12,153532,153.532,0.153532,,,,
10,180,2.03419E+12,2.03419E+12,175943,175.943,0.175943,,,,
1,181,2.0342E+12,2.0342E+12,164240,164.24,0.16424,,,,
2,181,2.03421E+12,2.03421E+12,140121,140.121,0.140121,,,,
3,181,2.03422E+12,2.03422E+12,187881,187.881,0.187881,,,,
4,181,2.03423E+12,2.03423E+12,166702,166.702,0.166702,,,,
5,181,2.03424E+12,2.03424E+12,180794,180.794,0.180794,,,,
6,181,2.03426E+12,2.03426E+12,168976,168.976,0.168976,,,,
7,181,2.03427E+12,2.03427E+12,205920,205.92,0.20592,,,,
8,181,2.03428E+12,2.03428E+12,187554,187.554,0.187554,,,,
9,181,2.03429E+12,2.03429E+12,151862,151.862,0.151862,,,,
10,181,2.0343E+12,2.0343E+12,165350,165.35,0.16535,,,,
1,182,2.03431E+12,2.03431E+12,161041,161.041,0.161041,,,,
2,182,2.03432E+12,2.03432E+12,135219,135.219,0.135219,,,,
3,182,2.03433E+12,2.03433E+12,241179,241.179,0.241179,,,,
4,182,2.03434E+12,2.03434E+12,187639,187.639,0.187639,,,,
5,182,2.03435E+12,2.03435E+12,185391,185.391,0.185391,,,,
6,182,2.03436E+12,2.03436E+12,169856,169.856,0.169856,,,,
7,182,2.03437E+12,2.03437E+12,214367,214.367,0.214367,,,,
8,182,2.03438E+12,2.03438E+12,186461,186.461,0.186461,,,,
9,182,2.03439E+12,2.03439E+12,155671,155.671,0.155671,,,,
10,182,2.0344E+12,2.0344E+12,170156,170.156,0.170156,,,,
1,183,2.03441E+12,2.03441E+12,166039,166.039,0.166039,,,,
2,183,2.03442E+12,2.03442E+12,149016,149.016,0.149016,,,,
3,183,2.03443E+12,2.03443E+12,186330,186.33,0.18633,,,,
4,183,2.03444E+12,2.03444E+12,179829,179.829,0.179829,,,,
5,183,2.03445E+12,2.03445E+12,165565,165.565,0.165565,,,,
6,183,2.03446E+12,2.03446E+12,149846,149.846,0.149846,,,,
7,183,2.03447E+12,2.03447E+12,147743,147.743,0.147743,,,,
8,183,2.03449E+12,2.03449E+12,178652,178.652,0.178652,,,,
9,183,2.0345E+12,2.0345E+12,182692,182.692,0.182692,,,,
10,183,2.03451E+12,2.03451E+12,162542,162.542,0.162542,,,,
1,184,2.03452E+12,2.03452E+12,182301,182.301,0.182301,,,,
2,184,2.03453E+12,2.03453E+12,160200,160.2,0.1602,,,,
3,184,2.03454E+12,2.03454E+12,185232,185.232,0.185232,,,,
4,184,2.03455E+12,2.03455E+12,180148,180.148,0.180148,,,,
5,184,2.03456E+12,2.03456E+12,172450,172.45,0.17245,,,,
6,184,2.03457E+12,2.03457E+12,170573,170.573,0.170573,,,,
7,184,2.03458E+12,2.03458E+12,186865,186.865,0.186865,,,,
8,184,2.03459E+12,2.03459E+12,167042,167.042,0.167042,,,,
9,184,2.0346E+12,2.0346E+12,150964,150.964,0.150964,,,,
10,184,2.03461E+12,2.03461E+12,171726,171.726,0.171726,,,,
1,185,2.03462E+12,2.03462E+12,163123,163.123,0.163123,,,,
2,185,2.03463E+12,2.03463E+12,150695,150.695,0.150695,,,,
3,185,2.03464E+12,2.03464E+12,174371,174.371,0.174371,,,,
4,185,2.03465E+12,2.03465E+12,182426,182.426,0.182426,,,,
5,185,2.03466E+12,2.03466E+12,128839,128.839,0.128839,,,,
6,185,2.03467E+12,2.03467E+12,161543,161.543,0.161543,,,,
7,185,2.03468E+12,2.03468E+12,170842,170.842,0.170842,,,,
8,185,2.03469E+12,2.03469E+12,174453,174.453,0.174453,,,,
9,185,2.0347E+12,2.0347E+12,167419,167.419,0.167419,,,,
10,185,2.03472E+12,2.03472E+12,143960,143.96,0.14396,,,,
1,186,2.03473E+12,2.03473E+12,184312,184.312,0.184312,,,,
2,186,2.03474E+12,2.03474E+12,109088,109.088,0.109088,,,,
3,186,2.03475E+12,2.03475E+12,184415,184.415,0.184415,,,,
4,186,2.03476E+12,2.03476E+12,197874,197.874,0.197874,,,,
5,186,2.03477E+12,2.03477E+12,146258,146.258,0.146258,,,,
6,186,2.03478E+12,2.03478E+12,179561,179.561,0.179561,,,,
7,186,2.03479E+12,2.03479E+12,133834,133.834,0.133834,,,,
8,186,2.0348E+12,2.0348E+12,183312,183.312,0.183312,,,,
9,186,2.03481E+12,2.03481E+12,122547,122.547,0.122547,,,,
10,186,2.03482E+12,2.03482E+12,167470,167.47,0.16747,,,,
1,187,2.03483E+12,2.03483E+12,166681,166.681,0.166681,,,,
2,187,2.03484E+12,2.03484E+12,145918,145.918,0.145918,,,,
3,187,2.03485E+12,2.03485E+12,200554,200.554,0.200554,,,,
4,187,2.03486E+12,2.03486E+12,187743,187.743,0.187743,,,,
5,187,2.03487E+12,2.03487E+12,165803,165.803,0.165803,,,,
6,187,2.03488E+12,2.03488E+12,153724,153.724,0.153724,,,,
7,187,2.03489E+12,2.03489E+12,163432,163.432,0.163432,,,,
8,187,2.0349E+12,2.0349E+12,192080,192.08,0.19208,,,,
9,187,2.03491E+12,2.03491E+12,152677,152.677,0.152677,,,,
10,187,2.03492E+12,2.03492E+12,168784,168.784,0.168784,,,,
1,188,2.03493E+12,2.03493E+12,145851,145.851,0.145851,,,,
2,188,2.03494E+12,2.03494E+12,144230,144.23,0.14423,,,,
3,188,2.03496E+12,2.03496E+12,190798,190.798,0.190798,,,,
4,188,2.03497E+12,2.03497E+12,203434,203.434,0.203434,,,,
5,188,2.03498E+12,2.03498E+12,167735,167.735,0.167735,,,,
6,188,2.03499E+12,2.03499E+12,203215,203.215,0.203215,,,,
7,188,2.035E+12,2.035E+12,168392,168.392,0.168392,,,,
8,188,2.03501E+12,2.03501E+12,183051,183.051,0.183051,,,,
9,188,2.03502E+12,2.03502E+12,152416,152.416,0.152416,,,,
10,188,2.03503E+12,2.03503E+12,168758,168.758,0.168758,,,,
1,189,2.03504E+12,2.03504E+12,171756,171.756,0.171756,,,,
2,189,2.03505E+12,2.03505E+12,132216,132.216,0.132216,,,,
3,189,2.03506E+12,2.03506E+12,190965,190.965,0.190965,,,,
4,189,2.03507E+12,2.03507E+12,203676,203.676,0.203676,,,,
5,189,2.03508E+12,2.03508E+12,173506,173.506,0.173506,,,,
6,189,2.03509E+12,2.03509E+12,193600,193.6,0.1936,,,,
7,189,2.0351E+12,2.0351E+12,152221,152.221,0.152221,,,,
8,189,2.03511E+12,2.03511E+12,206777,206.777,0.206777,,,,
9,189,2.03512E+12,2.03512E+12,152831,152.831,0.152831,,,,
10,189,2.03513E+12,2.03513E+12,179521,179.521,0.179521,,,,
1,190,2.03514E+12,2.03514E+12,147504,147.504,0.147504,,,,
2,190,2.03515E+12,2.03515E+12,142642,142.642,0.142642,,,,
3,190,2.03516E+12,2.03516E+12,160711,160.711,0.160711,,,,
4,190,2.03517E+12,2.03517E+12,188915,188.915,0.188915,,,,
5,190,2.03518E+12,2.03518E+12,170301,170.301,0.170301,,,,
6,190,2.0352E+12,2.0352E+12,166273,166.273,0.166273,,,,
7,190,2.03521E+12,2.03521E+12,200400,200.4,0.2004,,,,
8,190,2.03522E+12,2.03522E+12,198610,198.61,0.19861,,,,
9,190,2.03523E+12,2.03523E+12,168204,168.204,0.168204,,,,
10,190,2.03524E+12,2.03524E+12,160947,160.947,0.160947,,,,
1,191,2.03525E+12,2.03525E+12,199362,199.362,0.199362,,,,
2,191,2.03526E+12,2.03526E+12,140682,140.682,0.140682,,,,
3,191,2.03527E+12,2.03527E+12,200509,200.509,0.200509,,,,
4,191,2.03528E+12,2.03528E+12,206789,206.789,0.206789,,,,
5,191,2.03529E+12,2.03529E+12,146899,146.899,0.146899,,,,
6,191,2.0353E+12,2.0353E+12,163993,163.993,0.163993,,,,
7,191,2.03531E+12,2.03531E+12,109687,109.687,0.109687,,,,
8,191,2.03532E+12,2.03532E+12,185806,185.806,0.185806,,,,
9,191,2.03533E+12,2.03533E+12,175441,175.441,0.175441,,,,
10,191,2.03534E+12,2.03534E+12,176373,176.373,0.176373,,,,
1,192,2.03535E+12,2.03535E+12,175887,175.887,0.175887,,,,
2,192,2.03536E+12,2.03536E+12,150894,150.894,0.150894,,,,
3,192,2.03537E+12,2.03537E+12,207779,207.779,0.207779,,,,
4,192,2.03538E+12,2.03538E+12,173913,173.913,0.173913,,,,
5,192,2.03539E+12,2.03539E+12,166230,166.23,0.16623,,,,
6,192,2.0354E+12,2.0354E+12,175368,175.368,0.175368,,,,
7,192,2.03542E+12,2.03542E+12,167287,167.287,0.167287,,,,
8,192,2.03543E+12,2.03543E+12,254723,254.723,0.254723,,,,
9,192,2.03544E+12,2.03544E+12,157114,157.114,0.157114,,,,
10,192,2.03545E+12,2.03545E+12,209162,209.162,0.209162,,,,
1,193,2.03546E+12,2.03546E+12,159404,159.404,0.159404,,,,
2,193,2.03547E+12,2.03547E+12,163167,163.167,0.163167,,,,
3,193,2.03548E+12,2.03548E+12,180763,180.763,0.180763,,,,
4,193,2.03549E+12,2.03549E+12,191395,191.395,0.191395,,,,
5,193,2.0355E+12,2.0355E+12,159717,159.717,0.159717,,,,
6,193,2.03551E+12,2.03551E+12,186724,186.724,0.186724,,,,
7,193,2.03552E+12,2.03552E+12,143639,143.639,0.143639,,,,
8,193,2.03553E+12,2.03553E+12,182039,182.039,0.182039,,,,
9,193,2.03554E+12,2.03554E+12,155330,155.33,0.15533,,,,
10,193,2.03555E+12,2.03555E+12,170198,170.198,0.170198,,,,
1,194,2.03556E+12,2.03556E+12,168002,168.002,0.168002,,,,
2,194,2.03557E+12,2.03557E+12,146444,146.444,0.146444,,,,
3,194,2.03558E+12,2.03558E+12,186393,186.393,0.186393,,,,
4,194,2.03559E+12,2.03559E+12,255682,255.682,0.255682,,,,
5,194,2.0356E+12,2.0356E+12,167312,167.312,0.167312,,,,
6,194,2.03561E+12,2.03561E+12,169172,169.172,0.169172,,,,
7,194,2.03563E+12,2.03563E+12,220770,220.77,0.22077,,,,
8,194,2.03564E+12,2.03564E+12,157750,157.75,0.15775,,,,
9,194,2.03565E+12,2.03565E+12,148574,148.574,0.148574,,,,
10,194,2.03566E+12,2.03566E+12,132760,132.76,0.13276,,,,
1,195,2.03567E+12,2.03567E+12,172568,172.568,0.172568,,,,
2,195,2.03568E+12,2.03568E+12,143904,143.904,0.143904,,,,
3,195,2.03569E+12,2.03569E+12,208420,208.42,0.20842,,,,
