listner1,2703,2330875403273,2330926573331
listner1,2704,2330885375985,2330926733827
listner1,2705,2330896045000,2330926841001
listner1,2706,2330906048366,2330926977917
listner1,2707,2330915632360,2330927125897
listner1,2708,2330925418950,2330927264111
listner1,2709,2330935453711,2330935715326
listner1,2710,2330945470441,2330945748214
listner1,2711,2330955416772,2330955622974
listner1,2712,2330965458906,2330965752212
listner1,2713,2330975902710,2330976208718
listner1,2714,2330985465668,2330985739719
listner1,2715,2330995491218,2330995762536
listner1,2716,2331005889370,2331006199387
listner1,2717,2331015475376,2331015755406
listner1,2718,2331025848492,2331026136944
listner1,2719,2331035811402,2331036093710
listner1,2720,2331045445019,2331045726761
listner1,2721,2331055404400,2331055635090
listner1,2722,2331065451829,2331065744857
listner1,2723,2331075449208,2331075750957
listner1,2724,2331085458839,2331085745937
listner1,2725,2331095446596,2331095735918
listner1,2726,2331105459460,2331105750686
listner1,2727,2331115447164,2331115748021
listner1,2728,2331125457696,2331125753097
listner1,2729,2331135458897,2331135745544
listner1,2730,2331145458642,2331145739912
listner1,2731,2331155459102,2331155748221
listner1,2732,2331165456785,2331165754410
listner1,2733,2331175457072,2331175754606
listner1,2734,2331185450710,2331185734703
listner1,2735,2331195454897,2331195747548
listner1,2736,2331205460630,2331205748943
listner1,2737,2331215456402,2331215742743
listner1,2738,2331225454105,2331225755566
listner1,2739,2331235454969,2331235749789
listner1,2740,2331245454112,2331245732860
listner1,2741,2331255409775,2331255636459
listner1,2742,2331265458511,2331265748090
listner1,2743,2331275452101,2331275735710
listner1,2744,2331285447285,2331285749202
listner1,2745,2331295454899,2331295748629
listner1,2746,2331305465011,2331305736442
listner1,2747,2331315461455,2331315757574
listner1,2748,2331325892611,2331326212594
listner1,2749,2331335813501,2331336163164
listner1,2750,2331345479445,2331345764131
listner1,2751,2331355454905,2331355729421
listner1,2752,2331365892082,2331366158030
listner1,2753,2331375887587,2331376206073
listner1,2754,2331385883494,2331386212045
listner1,2755,2331395879847,2331396191667
listner1,2756,2331405885419,2331406184327
listner1,2757,2331415874768,2331416187139
listner1,2758,2331425460687,2331425780644
listner1,2759,2331435890430,2331436310993
listner1,2760,2331445890978,2331446228337
listner1,2761,2331455881602,2331456270710
listner1,2762,2331465891202,2331466250581
listner1,2763,2331475727081,2331476081214
listner1,2764,2331485448234,2331485773544
listner1,2765,2331495467447,2331495809126
listner1,2766,2331505457387,2331505812569
listner1,2767,2331515460837,2331515808572
listner1,2768,2331525449955,2331525744257
listner1,2769,2331535445646,2331535744344
listner1,2770,2331545460444,2331545751451
listner1,2771,2331555458625,2331555746529
listner1,2772,2331565459273,2331565743798
listner1,2773,2331575460820,2331575746448
listner1,2774,2331585454283,2331585732414
listner1,2775,2331595446336,2331595742806
listner1,2776,2331605451720,2331605749759
listner1,2777,2331615461818,2331615752068
listner1,2778,2331625462963,2331625805438
listner1,2779,2331635457325,2331635805813
listner1,2780,2331645460309,2331645811191
listner1,2781,2331655483808,2331655822421
listner1,2782,2331665459794,2331665802371
listner1,2783,2331675468442,2331675810667
listner1,2784,2331685455598,2331685788714
listner1,2785,2331695458576,2331695794063
listner1,2786,2331705462237,2331705788081
listner1,2787,2331715462700,2331715793739
listner1,2788,2331725456442,2331725747255
listner1,2789,2331735458131,2331735751609
listner1,2790,2331745453661,2331745749759
listner1,2791,2331755453516,2331755755886
listner1,2792,2331765456971,2331765748854
listner1,2793,2331775446317,2331775739726
listner1,2794,2331785448418,2331785754483
listner1,2795,2331795457881,2331795751668
listner1,2796,2331805455535,2331805748914
listner1,2797,2331815462185,2331815752337
listner1,2798,2331825460426,2331825785769
listner1,2799,2331835467405,2331835804730
listner1,2800,2331845470000,2331845795965
listner1,2801,2331855462311,2331855791638
listner1,2802,2331865459696,2331865799090
listner1,2803,2331875460132,2331875814242
listner1,2804,2331885462935,2331885808038
listner1,2805,2331895468755,2331895830795
listner1,2806,2331905460913,2331905808920
listner1,2807,2331915462254,2331915811740
listner1,2808,2331925457424,2331925745868
listner1,2809,2331935451476,2331935735161
listner1,2810,2331945454278,2331945741967
listner1,2811,2331955455027,2331955749944
listner1,2812,2331965451970,2331965752010
listner1,2813,2331975462376,2331975750458
listner1,2814,2331985453697,2331985751754
listner1,2815,2331995454643,2331995748591
listner1,2816,2332005456104,2332005756240
listner1,2817,2332015456021,2332015753125
listner1,2818,2332025457043,2332025743835
listner1,2819,2332035460086,2332035751993
listner1,2820,2332045461292,2332045750986
listner1,2821,2332055462464,2332055751524
listner1,2822,2332065454078,2332065745397
listner1,2823,2332075455296,2332075748791
listner1,2824,2332085459758,2332085753405
listner1,2825,2332095453283,2332095736590
listner1,2826,2332105455948,2332105748205
listner1,2827,2332115450532,2332115751244
listner1,2828,2332125460309,2332125809002
listner1,2829,2332135484335,2332135831614
listner1,2830,2332145463015,2332145805402
listner1,2831,2332155488088,2332155833958
listner1,2832,2332165460536,2332165800417
listner1,2833,2332175463850,2332175806651
listner1,2834,2332185453221,2332185785409
listner1,2835,2332195463026,2332195806577
listner1,2836,2332205463716,2332205799747
listner1,2837,2332215465747,2332215799915
listner1,2838,2332225455852,2332225747367
listner1,2839,2332235455427,2332235750363
listner1,2840,2332245457372,2332245749347
listner1,2841,2332255450301,2332255756588
listner1,2842,2332265456707,2332265750419
listner1,2843,2332275459956,2332275747336
listner1,2844,2332285457058,2332285750016
listner1,2845,2332295453804,2332295746952
listner1,2846,2332305456500,2332305748854
listner1,2847,2332315446985,2332315750690
listner1,2848,2332325463571,2332325796691
listner1,2849,2332335462328,2332335788294
